#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
60,"GELMEZSEN GELME","Lvbel C5",69,120,"turkce drill, turkish hip hop, turkish trap","Hip Hop","C5MODE",2022-03-18,01:33,76,56,19,0,27,0,0,-13,B Minor,4,2023-12-18,4qcngMZ8yF98sAnFKlvXPN,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",10A,,https://i.scdn.co/image/ab67616d0000485134f64ce91202b521c931ed99
61,"Al Sevgilim","Semicenk,Funda Arar",68,154,"turkish pop","Pop","Al Sevgilim",2022-04-08,03:12,62,51,6,0,32,10,10,-9,G#/A♭ Minor,4,2023-12-18,0UguFn9xs4WQshHabcxUxH,"Eva Records TR",1A,https://p.scdn.co/mp3-preview/d8b6c02774afa2f6aab272d279f7d3101670a6b8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851720261ee1813c43f5aebbc3f
62,"Tutsak","Sefo",61,90,"turkish trap","Hip Hop","Tutsak",2022-04-29,03:02,89,80,26,0,58,10,0,-6,B Minor,4,2023-12-18,6INQskS3bwLWvXtnJApHO2,"3TR6AP2",10A,https://p.scdn.co/mp3-preview/35cd299eaf7c8ea2f1b3dfd266c518dd120d4b62?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510b4aad545c3e97444b1101da
63,"İmparator","Heijan,Muti",65,92,"turkish hip hop, turkce drill","Hip Hop","Hermano",2023-04-28,02:04,85,55,13,0,39,40,0,-12,D Minor,4,2023-12-18,6P5sYzj0nLufLSiLgcnEUA,"TFB Records",7A,https://p.scdn.co/mp3-preview/05f30a97903d15e764fe159f814156cea62ef90d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851965a9c2c41ab5c84477f3606
64,"Özür","Halodayı",73,144,"turkish hip hop","Hip Hop","Özür",2023-01-27,02:15,71,52,42,0,54,10,20,-9,G Minor,4,2023-12-18,0K2nzvf5Pn6IO0Xyt36iNi,"OSC ENM.",6A,https://p.scdn.co/mp3-preview/439c85e742e4902484acdf610436abe7bf39557e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485128289683e823ac4c653d29f1
65,"Kalbin bana kaldı","ALIZADE,BEGE",66,95,"zhenskiy rep, turkce drill, turkish hip hop, turkish trap","Hip Hop","Kalbin bana kaldı",2022-07-29,02:24,77,62,7,0,49,0,10,-9,C♯/D♭ Minor,4,2023-12-18,55Tf67DiltMLjOY6A25s3J,"New Wave",12A,https://p.scdn.co/mp3-preview/543a60d9713fbfa5f1e85b84513ecaf2a6c27c9d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515230dc06772e01276806a5e4
66,"KÂR","Motive",66,170,"turkish hip hop, turkish trap","Hip Hop","22",2022-01-21,02:42,69,61,11,0,35,10,20,-6,F Major,4,2023-12-18,7jPUGtOJTHPxIlWNGVqD8U,"SAVANA",7B,https://p.scdn.co/mp3-preview/ff5b95e81a5be0b07b4f08401ba32be4b983133d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c59447f268b6dfb4c433e8cc
67,"Vur","UZI",66,89,"turkish hip hop, turkish trap","Hip Hop","Kan",2021-03-19,02:35,83,58,52,0,21,30,20,-7,C Major,4,2023-12-18,4hy4nY2PiYWx8qVXjpky3P,"M.O.B. Entertainment",8B,https://p.scdn.co/mp3-preview/5b57e9e80e8dc443ad508fa794686e731a3e92ef?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485167c738a703dc979f5c3c52ef
68,"TALIBANA","DEHA INC.,Reckol",69,123,"new school turkce rap, turkce trap metal, turkce drill","Hip Hop, Metal","TALIBANA",2023-02-14,02:38,89,57,12,0,47,10,10,-11,A Major,4,2023-12-18,3HoHBzUrwYNbzXGKfHIRAT,"Reckol Music",11B,https://p.scdn.co/mp3-preview/69143681413d704749a068a22e7a2f6ff7d6feb7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a35c05f61bf3b4a29c48870c
69,"UNUTTUM","UZI",62,141,"turkish hip hop, turkish trap","Hip Hop","EL CHAVO",2022-09-09,02:36,70,70,3,0,76,20,50,-7,C Major,4,2023-12-18,7dFVvPxqk4O32ra3VjfUwU,"Ava Music / Avrupa Müzik",8B,https://p.scdn.co/mp3-preview/0ef9ce62bbf3f992afb3e2a6777e17aecb44fd8f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485149fbfede365b32ce524eec19
70,"Perros Blancos","Reckol,cakal",56,140,"turkce drill","","Özlüce Trap Boys",2021-08-13,02:20,55,60,32,0,48,40,20,-8,C♯/D♭ Major,5,2023-12-18,3UgRtVix3gOFXAs8wTGX06,"Reckol Music",3B,https://p.scdn.co/mp3-preview/c80a358103cb41b83fc65d6cf38a272142895df9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a1231499c329ddca8d45f4f9
71,"İllegale","Batuflex",63,138,"turkish hip hop, turkish trap","Hip Hop","Marka",2022-07-22,01:59,67,82,23,14,50,10,10,-10,G#/A♭ Major,4,2023-12-18,2njqaJOTwA4Itcn3TotTAk,"Batuflex",4B,https://p.scdn.co/mp3-preview/1e7721161096aca4bf2dfb5a1dcec7da6986d87a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485127cabef1eb71db6c8a9ba055
72,"HONG KONG","Lvbel C5,Batuflex",58,139,"turkce drill, turkish hip hop, turkish trap","Hip Hop","HONG KONG",2021-12-24,01:51,48,52,7,0,59,20,10,-13,B Major,4,2023-12-18,4FiDkc2woxfDbfCoSqx6pq,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",1B,,https://i.scdn.co/image/ab67616d00004851b268e4d8e6443d85e06dfdf8
73,"Riv Riv Riv","cakal",61,134,"turkce drill","","Riv Riv Riv",2021-08-27,02:01,74,82,2,0,61,0,30,-5,A#/B♭ Minor,4,2023-12-18,3HEv9gY3n9Fj2H5E2IoOKF,"DOĞAN MÜZİK YAPIM",3A,https://p.scdn.co/mp3-preview/1a38289118fc0aa11b965ae109faa04c7d3ff6b7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cbf53cd6635bae39a675aadb
74,"ARASAN DA","UZI",62,106,"turkish hip hop, turkish trap","Hip Hop","EL CHAVO",2022-09-09,03:11,74,83,43,24,44,10,10,-7,A#/B♭ Major,4,2023-12-18,5sIHhx9IOpQ7ggv16wLsWZ,"Ava Music / Avrupa Müzik",6B,https://p.scdn.co/mp3-preview/b91a903fc3ffe4329675a3368a2d2b6322b506c5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485149fbfede365b32ce524eec19
75,"Suçlarımdan Biri","Güneş",70,95,"turkce kadin rap","Hip Hop","Atlantis",2022-06-03,02:51,76,73,14,0,59,10,0,-7,F Minor,4,2023-12-18,65tIJClJx8fHo6YW4wVDhi,"M.O.B. Entertainment",4A,https://p.scdn.co/mp3-preview/df30ccef25af96841a37fcc066ab5df34169a64c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851393978b8aaa965132c152510
76,"CİRO","BLOK3",71,145,"turkce drill","","CİRO",2022-03-11,02:06,69,55,12,0,75,10,30,-11,F Minor,4,2023-12-18,65oylkvpvUbOE6h80fdw2V,"Mundo Music",4A,https://p.scdn.co/mp3-preview/54df1ef495fba0bb1350e510b8e2606ef379cbaa?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515b9968a96c04febc0cbcffca
77,"Ne Ay Geceden","Sezer Sarıgöz",66,135,"turkish pop","Pop","Ne Ay Geceden",2022-01-26,03:19,60,39,46,0,45,0,10,-11,C♯/D♭ Minor,4,2023-12-18,4tJa4Vbru9vnEj1IV9aaX1,"Back Drop",12A,https://p.scdn.co/mp3-preview/05940f1434a987eacfe2af7a80506740d102aa50?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516bc045b63f3366fce8613686
78,"Aden P2","Lia Shine",61,90,"turkish hip hop","Hip Hop","Bir Şeytan Masalı",2021-10-15,03:12,68,60,48,0,22,0,10,-10,F Minor,4,2023-12-18,40Sala0O1VkPH2YM98xVL9,"WBR",4A,https://p.scdn.co/mp3-preview/7ddd8a2e773fc7b8ccf93444bc465701f8c001f8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485119bbf4f08474987e19bedb78
79,"Yallah","Montiego,Lvbel C5,Batuflex",60,114,"persian hip hop, turkce drill, turkish hip hop, turkish trap","Hip Hop","Yallah",2022-02-04,02:24,79,47,33,0,35,10,0,-8,G#/A♭ Major,4,2023-12-18,7zxHknEJ9gfaL8Ln6UqYUX,"Lais Records",4B,https://p.scdn.co/mp3-preview/ef738199817d4e36bd4befd48044fb0150a921b0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512e3def7c6749ad52f26cdfca
80,"Mahvettim","cakal",60,141,"turkce drill","","Mahvettim",2021-10-29,02:36,65,71,36,0,51,0,10,-6,A Minor,4,2023-12-18,1ji6PoTBfVXqycvsXdgZgp,"Perros Blancos",8A,https://p.scdn.co/mp3-preview/d91d93f44711c929263b46561b1b2ab79ad606d3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851af9dbcd6a01b448842dd18bd
81,"Istediğim Olucak","Reckol",55,153,"turkce drill","","Özlüce Trap Boys",2021-08-13,02:11,69,58,4,0,46,0,20,-9,B Minor,4,2023-12-18,6gPdxwc8BlgjqF7g41bt3i,"Reckol Music",10A,https://p.scdn.co/mp3-preview/f130d59bbb283d16634f7278a5ebac8eb474e15b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a1231499c329ddca8d45f4f9
82,"Zor","Lvbel C5",58,130,"turkce drill, turkish hip hop, turkish trap","Hip Hop","Zor",2020-06-05,02:04,73,68,21,0,18,10,60,-5,A#/B♭ Minor,4,2023-12-18,3gnFk5AE2krbHApC7YrS2Q,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",3A,,https://i.scdn.co/image/ab67616d000048514928478be4f152a41f7df032
83,"Ayrı Gitme","Aleyna Tilki",73,116,"turkish pop","Pop","Ayrı Gitme",2023-08-18,02:35,73,78,4,0,46,0,20,-5,C Major,4,2023-12-18,6dqkb11C20YDLZNhNAzWxz,"DOĞAN MÜZİK YAPIM",8B,https://p.scdn.co/mp3-preview/caf49ee1bc6f14b5bc2f5c09823fe6efb46e6601?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e0242dad9021163a6272e0c7
